feature,importance,rank
semantic_energy,0.12088505,1
token_count,0.08835056,2
min_logprob,0.07103868,3
entity_type_GPE,0.059587277,4
mean_logprob,0.058024883,5
semantic_entropy,0.05402001,6
avg_entity_rarity,0.053632863,7
naive_perplexity,0.052490056,8
num_clauses,0.049869414,9
entity_type_PERSON,0.046230722,10
avg_dependency_length,0.044530913,11
avg_word_length,0.04380739,12
unique_token_ratio,0.042442758,13
avg_parse_depth,0.041694783,14
std_logprob,0.036560483,15
qtype_what,0.03599917,16
entity_type_ORG,0.030122278,17
entity_type_LOC,0.027268955,18
entity_type_PRODUCT,0.021970592,19
num_rare_entities,0.021473188,20
domain_IS,0.0,21
domain_Math,0.0,22
domain_Finance,0.0,23
naive_top_k_entropy,0.0,24
domain_Psychology,0.0,25
qtype_other,0.0,26
avg_cluster_size,0.0,27
domain_Medicine,0.0,28
qtype_when,0.0,29
qtype_which,0.0,30
qtype_who,0.0,31
qtype_where,0.0,32
naive_max_prob,0.0,33
qtype_how,0.0,34
qtype_why,0.0,35
num_semantic_clusters,0.0,36
lexical_diversity,0.0,37
num_entities,0.0,38
min_entity_rarity,0.0,39
max_entity_rarity,0.0,40
entity_type_EVENT,0.0,41
