feature,importance,rank
semantic_entropy,0.278808,1
avg_cluster_size,0.12796347,2
num_semantic_clusters,0.06783792,3
max_entity_rarity,0.051392175,4
avg_word_length,0.03993876,5
unique_token_ratio,0.039446764,6
avg_entity_rarity,0.036635634,7
token_count,0.035226326,8
avg_parse_depth,0.03257196,9
entity_type_PRODUCT,0.031855635,10
num_rare_entities,0.029801065,11
num_entities,0.029663933,12
qtype_how,0.029059108,13
qtype_what,0.028327662,14
avg_dependency_length,0.028273733,15
num_clauses,0.028195385,16
entity_type_ORG,0.027745167,17
min_entity_rarity,0.023094803,18
entity_type_PERSON,0.01821536,19
entity_type_GPE,0.015947143,20
qtype_other,0.0,21
semantic_energy,0.0,22
entity_type_LOC,0.0,23
domain_Psychology,0.0,24
domain_IS,0.0,25
domain_Finance,0.0,26
domain_Math,0.0,27
domain_Medicine,0.0,28
qtype_which,0.0,29
naive_top_k_entropy,0.0,30
qtype_who,0.0,31
qtype_where,0.0,32
qtype_when,0.0,33
mean_logprob,0.0,34
qtype_why,0.0,35
min_logprob,0.0,36
std_logprob,0.0,37
naive_max_prob,0.0,38
naive_perplexity,0.0,39
lexical_diversity,0.0,40
entity_type_EVENT,0.0,41
