feature,importance,rank
mcq_first_token_logprob,0.06427407,1
entity_type_LOC,0.06404514,2
semantic_entropy,0.05033333,3
entity_type_PRODUCT,0.049451232,4
qtype_which,0.048808653,5
qtype_what,0.046994153,6
entity_type_GPE,0.045207478,7
avg_word_length,0.039165966,8
min_logprob,0.038672063,9
qtype_how,0.03831173,10
token_count,0.037777722,11
qtype_other,0.035827324,12
mcq_letter_consistency,0.0352198,13
min_entity_rarity,0.03449171,14
mean_logprob,0.034165286,15
avg_parse_depth,0.03321164,16
num_clauses,0.031950798,17
avg_dependency_length,0.030825125,18
semantic_energy,0.030668845,19
avg_entity_rarity,0.02965014,20
unique_token_ratio,0.029165104,21
std_logprob,0.028033689,22
entity_type_ORG,0.027397498,23
entity_type_PERSON,0.025739754,24
naive_perplexity,0.02523905,25
mcq_num_unique_letters,0.025074514,26
num_entities,0.02029815,27
mcq_first_token_prob,0.0,28
mcq_letter_entropy,0.0,29
mcq_mode_letter_count,0.0,30
mcq_parseable_ratio,0.0,31
domain_Psychology,0.0,32
domain_IS,0.0,33
domain_Finance,0.0,34
domain_Math,0.0,35
domain_Medicine,0.0,36
qtype_why,0.0,37
num_semantic_clusters,0.0,38
qtype_who,0.0,39
qtype_where,0.0,40
qtype_when,0.0,41
avg_cluster_size,0.0,42
naive_max_prob,0.0,43
lexical_diversity,0.0,44
num_rare_entities,0.0,45
max_entity_rarity,0.0,46
naive_top_k_entropy,0.0,47
entity_type_EVENT,0.0,48
