feature,importance,rank
token_count,0.06576724,1
qtype_other,0.06416085,2
qtype_which,0.059441578,3
entity_type_PERSON,0.059003714,4
semantic_energy,0.057749625,5
entity_type_PRODUCT,0.056703206,6
naive_perplexity,0.053005192,7
unique_token_ratio,0.04203071,8
qtype_who,0.039145973,9
mean_logprob,0.03830537,10
qtype_what,0.0378076,11
avg_word_length,0.03776391,12
avg_entity_rarity,0.035818573,13
avg_parse_depth,0.035732433,14
entity_type_GPE,0.035166405,15
min_logprob,0.033827133,16
std_logprob,0.03301212,17
semantic_entropy,0.032367364,18
entity_type_LOC,0.032156307,19
avg_dependency_length,0.031739604,20
qtype_how,0.03145311,21
num_clauses,0.030202962,22
qtype_where,0.026369587,23
num_rare_entities,0.016631536,24
entity_type_ORG,0.014637863,25
num_semantic_clusters,0.0,26
domain_IS,0.0,27
avg_cluster_size,0.0,28
naive_max_prob,0.0,29
naive_top_k_entropy,0.0,30
max_entity_rarity,0.0,31
domain_Psychology,0.0,32
domain_Math,0.0,33
domain_Finance,0.0,34
qtype_why,0.0,35
domain_Medicine,0.0,36
min_entity_rarity,0.0,37
num_entities,0.0,38
qtype_when,0.0,39
lexical_diversity,0.0,40
entity_type_EVENT,0.0,41
