feature_subset,n_features,auroc,accuracy,precision,recall,f1,auroc_cv_mean,auroc_cv_std,accuracy_cv_mean,accuracy_cv_std,precision_cv_mean,precision_cv_std,recall_cv_mean,recall_cv_std,f1_cv_mean,f1_cv_std,domain
Naive-Only,4,0.5,0.6759259259259259,0.0,0.0,0.0,0.5,0.0,0.7103465851172273,0.0035826229126654,0.0,0.0,0.0,0.0,0.0,0.0,math
Semantic-Only,3,0.7215264187866928,0.7870370370370371,0.7,0.6,0.6461538461538462,0.7218867825722665,0.0488875260836902,0.8118756371049949,0.0380179697055989,0.7291429987082161,0.0953505410706938,0.5675403225806451,0.0598505145516024,0.6367189570833032,0.0669061485417809,math
Context-Only,21,0.5698630136986302,0.5833333333333334,0.3611111111111111,0.3714285714285714,0.3661971830985915,0.5082478005865102,0.035973519360863,0.5977913693510024,0.0219216298671444,0.310334625052367,0.0367605785828696,0.3185483870967742,0.0456030828075303,0.314112408538638,0.0394837443231823,math
Semantic+Context,24,0.7616438356164383,0.7222222222222222,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7416396103896105,0.0516792724117316,0.7693849813115868,0.0550030994288951,0.6120081699346406,0.1084864207464361,0.5862903225806451,0.0903402425488072,0.5963515086608308,0.0885659193512402,math
Full,41,0.7972602739726027,0.8055555555555556,0.7333333333333333,0.6285714285714286,0.676923076923077,0.7495574989526604,0.0548912411549183,0.7878185524974517,0.0418993795090033,0.655222959948597,0.0825518464222693,0.5864919354838709,0.0769451095452754,0.6156057057696401,0.066167878285837,math
Naive-Only,4,0.7054924242424242,0.75,0.8987341772151899,0.8068181818181818,0.8502994011976048,0.641463708705088,0.0272233451673972,0.718,0.0408656334834051,0.9071307227944058,0.0139561313504825,0.7561389759665622,0.0488837414439813,0.8241203320961326,0.0302431702228208,is_agents
Semantic-Only,3,0.5402462121212122,0.73,0.8860759493670886,0.7954545454545454,0.8383233532934131,0.5574197713206334,0.1035014942165804,0.6459999999999999,0.0626897120746299,0.8847015889159291,0.0307076581911763,0.6881922675026124,0.0852587399921473,0.7712861628725014,0.0508898167249501,is_agents
Context-Only,21,0.5918560606060607,0.73,0.8765432098765432,0.8068181818181818,0.8402366863905325,0.5815823185435255,0.0754755335295547,0.728,0.0383405790253616,0.8842606327257491,0.0138320642980529,0.7951671891327063,0.0580109668719364,0.8361805897213731,0.0279254786307982,is_agents
Semantic+Context,24,0.6903409090909092,0.82,0.9166666666666666,0.875,0.8953488372093024,0.6281327867534764,0.0612039081327886,0.786,0.0456070170039655,0.898998036583268,0.0127940395954587,0.8519853709508881,0.0506629098319157,0.8743053577026532,0.0299172144692865,is_agents
Full,41,0.7026515151515151,0.81,0.8876404494382022,0.8977272727272727,0.8926553672316384,0.6129415842777911,0.0638366420237689,0.808,0.0389871773792358,0.890862977865216,0.0141759669497216,0.8905956112852664,0.0488363060928937,0.8901282610152744,0.0249992157452127,is_agents
