domain,feature_subset,auroc_single,auroc_cv_mean,auroc_cv_std,auroc_diff
math,Naive-Only,0.5,0.5,0.0,0.0
math,Semantic-Only,0.7215264187866928,0.7218867825722665,0.0488875260836902,-0.00036036378557369186
math,Context-Only,0.5698630136986302,0.5082478005865102,0.035973519360863,0.06161521311212004
math,Semantic+Context,0.7616438356164383,0.7416396103896105,0.0516792724117316,0.020004225226827876
math,Full,0.7972602739726027,0.7495574989526604,0.0548912411549183,0.047702775019942245
is_agents,Naive-Only,0.7054924242424242,0.641463708705088,0.0272233451673972,0.06402871553733624
is_agents,Semantic-Only,0.5402462121212122,0.5574197713206334,0.1035014942165804,-0.017173559199421207
is_agents,Context-Only,0.5918560606060607,0.5815823185435255,0.0754755335295547,0.010273742062535174
is_agents,Semantic+Context,0.6903409090909092,0.6281327867534764,0.0612039081327886,0.06220812233743278
is_agents,Full,0.7026515151515151,0.6129415842777911,0.0638366420237689,0.08970993087372403
psychology,Naive-Only,0.5141333333333333,0.5212800000000001,0.064847280419288,-0.0071466666666667455
psychology,Semantic-Only,0.5810666666666667,0.55888,0.0339591388452521,0.022186666666666688
psychology,Context-Only,0.5791999999999999,0.57856,0.0591115254789152,0.0006399999999999739
psychology,Semantic+Context,0.6810666666666667,0.6548266666666666,0.0461701587126961,0.026240000000000152
psychology,Full,0.6714666666666667,0.65888,0.0473535731375034,0.012586666666666635
medicine,Naive-Only,0.4732,0.4587893557422969,0.0493832788963787,0.014410644257703109
medicine,Semantic-Only,0.5462,0.5244864345738296,0.0616774279008159,0.021713565426170423
medicine,Context-Only,0.6592,0.6032522448979591,0.0471131142161639,0.055947755102040864
medicine,Semantic+Context,0.6284,0.6291385034013606,0.0420819019353793,-0.0007385034013606129
medicine,Full,0.6192,0.6330584393757503,0.0427166277667824,-0.013858439375750375
finance,Naive-Only,0.616943866943867,0.6698530458804431,0.0323809620953021,-0.052909178936576096
finance,Semantic-Only,0.6377338877338877,0.673134594025005,0.0529796967311304,-0.035400706291117245
finance,Context-Only,0.5441787941787942,0.5256976681634217,0.0550078164575661,0.01848112601537255
finance,Semantic+Context,0.6294178794178795,0.6946732559746258,0.0487257118894987,-0.06525537655674629
finance,Full,0.6320166320166319,0.6769076241678981,0.0589169969860313,-0.04489099215126613
